product_id,product_name,category,price,stock
1,Official Product,Beauty,1794.87,32
2,Begin Product,Electronics,2819.98,480
3,Table Product,Books,3245.84,253
4,Outside Product,Sports,2575.84,85
5,Drug Product,Grocery,3389.26,492
6,Event Product,Grocery,4003.73,145
7,Teach Product,Grocery,1786.53,216
8,Start Product,Electronics,1083.77,277
9,Government Product,Fashion,3083.12,69
10,Vote Product,Fashion,984.24,301
11,Practice Product,Fashion,3379.14,187
12,Right Product,Fashion,1348.81,104
13,Future Product,Fashion,2086.01,470
14,Sound Product,Electronics,3879.46,291
15,Level Product,Grocery,4526.72,422
16,Idea Product,Fashion,3253.07,79
17,Opportunity Product,Electronics,1577.5,322
18,Western Product,Electronics,3026.91,426
19,Myself Product,Grocery,3415.33,163
20,Drive Product,Beauty,1065.4,364
21,That Product,Home,415.61,327
22,Sign Product,Electronics,3445.56,389
23,Available Product,Beauty,264.24,24
24,Conference Product,Fashion,2221.22,365
25,Music Product,Home,3147.08,411
26,Approach Product,Home,2852.02,328
27,Professor Product,Grocery,3060.17,478
28,No Product,Home,1930.39,136
29,Interest Product,Books,4264.63,464
30,Magazine Product,Electronics,4248.78,134
31,Same Product,Home,4479.48,263
32,West Product,Beauty,2678.79,69
33,Join Product,Beauty,3250.61,353
34,Billion Product,Sports,4374.69,182
35,Think Product,Home,1418.45,35
36,Stock Product,Electronics,1210.79,117
37,Against Product,Home,2137.79,115
38,Follow Product,Sports,1551.08,270
39,East Product,Sports,3938.44,255
40,Bad Product,Home,1067.82,118
41,Spend Product,Beauty,192.45,414
42,Yet Product,Grocery,2889.12,268
43,Exactly Product,Home,1287.02,241
44,Part Product,Books,1365.36,393
45,Interesting Product,Books,2854.31,461
46,Crime Product,Books,4263.51,489
47,Bed Product,Home,1869.76,420
48,Threat Product,Fashion,4289.23,371
49,Meeting Product,Fashion,4446.65,324
50,Majority Product,Beauty,3514.37,283
51,Among Product,Beauty,4773.74,426
52,Green Product,Sports,3906.42,65
53,Computer Product,Sports,442.4,65
54,Before Product,Electronics,4777.36,201
55,Father Product,Grocery,1503.06,488
56,Area Product,Grocery,1314.84,387
57,Produce Product,Sports,3297.55,328
58,Speech Product,Books,2450.52,415
59,Cover Product,Beauty,1752.43,234
60,Talk Product,Fashion,2660.99,347
61,Lot Product,Electronics,1558.95,274
62,Where Product,Home,332.11,85
63,Nice Product,Home,2410.72,184
64,Might Product,Grocery,3910.79,413
65,Occur Product,Beauty,464.4,265
66,Series Product,Grocery,3182.43,229
67,Issue Product,Books,493.2,354
68,Sign Product,Electronics,2242.18,479
69,Add Product,Fashion,2894.77,108
70,Drop Product,Books,1037.21,133
71,Them Product,Grocery,1743.53,180
72,Road Product,Grocery,3204.58,445
73,Hold Product,Books,4895.63,172
74,Wife Product,Electronics,2319.21,192
75,Only Product,Sports,2532.83,232
76,All Product,Grocery,4707.17,100
77,Significant Product,Sports,2560.56,345
78,Energy Product,Electronics,4752.69,326
79,Tend Product,Sports,1552.81,434
80,Pick Product,Fashion,758.32,385
81,Sport Product,Home,4439.67,23
82,Career Product,Sports,3858.33,459
83,Beat Product,Electronics,3282.27,201
84,Face Product,Beauty,2424.82,396
85,Music Product,Fashion,4082.95,328
86,Fact Product,Beauty,2275.37,215
87,Determine Product,Grocery,1834.97,226
88,End Product,Home,4140.72,130
89,Pattern Product,Grocery,1637.92,485
90,Tonight Product,Beauty,2939.23,417
91,Item Product,Grocery,2368.0,290
92,Edge Product,Home,428.77,140
93,Bar Product,Fashion,4663.84,389
94,Deal Product,Home,1412.13,333
95,Network Product,Books,2870.42,213
96,Option Product,Grocery,3875.74,269
97,Democrat Product,Sports,186.7,457
98,Exactly Product,Books,2603.71,433
99,Factor Product,Sports,1029.94,79
100,Congress Product,Beauty,2004.12,107
101,Recently Product,Grocery,1305.63,422
102,Begin Product,Books,1686.19,172
103,Wait Product,Home,4436.99,239
104,Recognize Product,Beauty,2925.74,453
105,Wide Product,Fashion,3954.05,168
106,View Product,Grocery,376.17,72
107,Age Product,Sports,4046.42,125
108,Their Product,Home,747.89,235
109,Public Product,Fashion,1773.69,403
110,Way Product,Home,1699.99,25
111,Design Product,Books,4218.97,208
112,Fight Product,Books,407.75,315
113,Special Product,Beauty,1166.28,77
114,Charge Product,Electronics,2350.45,419
115,Suggest Product,Beauty,2354.95,263
116,Away Product,Grocery,4218.38,459
117,Oil Product,Beauty,255.86,374
118,Opportunity Product,Beauty,567.4,277
119,Under Product,Beauty,4058.82,350
120,Mind Product,Sports,4596.94,468
121,Particularly Product,Beauty,3925.96,256
122,Up Product,Books,3844.68,13
123,By Product,Books,3040.29,244
124,Entire Product,Fashion,4988.65,37
125,Money Product,Books,2699.9,85
126,Short Product,Beauty,3784.6,98
127,Prepare Product,Grocery,4822.92,155
128,Cup Product,Fashion,2641.71,333
129,Allow Product,Books,3163.58,188
